eachPopularTitle,eachPopularLink,eachPopularLink href,businessContact,businessArea,businessArea 2,directionsLocationsBlock href
Guest Inn Suites Castle Hotel,Email,mailto:marketing@guestinnsuites.com,+91 9948364860,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4138,78.4398"
Hotel Sitara Residency,Website,http://yellowpages.in/hyderabad/hotels/www.dhanturihotels.com,Invalid number,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Westin Hotels,Website,http://yellowpages.in/hyderabad/hotels/www.westin.com,Invalid number,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Hotel Horizon Residency,Email,mailto:sales.horizonresidency@hotmail.com,+91 4040100785,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Hotel Meredian Orchid,Email,mailto:hotelmeredianorchid9551@gmail.com,+91 9700345156,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Tanisha,Email,mailto:info@tanishahotels.com,+91 9059051439,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Amrutha Castle Restaurant,Email,mailto:info@amruthacastle.com,+91 4044433888,Hyderabad - 500004,Saifabad,"http://www.google.com/maps/place/17.4046,78.4663"
Hotel Dolphin Grand,,,Invalid number,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Sana Heritage Inn Hotel,Email,mailto:response@heritageinn.co.in,+91 9246192088,Hyderabad - 500003,Sindhi Colony,"http://www.google.com/maps/place/17.4415,78.4802"
Hotel Sai Pratap Residency,Email,mailto:hotelsaipratapresidency@gmail.com,+91 9700447033,Hyderabad - 500004,Khairatabad,"http://www.google.com/maps/place/17.4151,78.4648"
Hotel Nova,,,+91 4066818184,Hyderabad - 500082,Punjagutta,"http://www.google.com/maps/place/17.4265,78.4511"
Hotel Manjeera Inn,,,Invalid number,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Royalton Hotel,Email,mailto:re@royaltonhotel.in,+91 8121082015,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.393,78.473"
Hotel Sri Krishna,Email,mailto:badam_krishna@yahoo.com,Invalid number,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Dwaraka Paradise,Email,mailto:belmanprashant@gmail.com,Invalid number,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
V Hotels,Email,mailto:vijay@krsnest.com,+91 9642477000,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4138,78.4398"
Hotel Padmini Residency,Email,mailto:hotelpadminiresidency@gmail.com,+91 9246355578,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
M Hotels,Email,mailto:fo_shilparamam@mhotelsonline.com,+91 9666345555,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
NRS Royal Recreation,Email,mailto:hyderabad.nrs@hotmail.com,+91 7893442444,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Samudra Inn Hotel,Email,mailto:samudrainnhotel@gmail.com,+91 9246999260,Hyderabad - 500003,Sindhi Colony,"http://www.google.com/maps/place/17.4415,78.4802"
Alekhya Residency,Email,mailto:alekhyaresidency@ymail.com,+91 9248092177,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Fishland,,,+91 4064595959,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.399,78.463"
Indus (Ellaa Hotels),Email,mailto:headcorporatesales@ellaahotels.com,Invalid number,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Hotel Sri Supraja Residency,Email,mailto:srisuprajahotels@gmail.com,+91 9346316161,Hyderabad - 500050,Chanda Nagar,"http://www.google.com/maps/place/17.4936,78.3253"
Kens Business Hotel,,,+91 9849666431,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4138,78.4398"
Hotel Sangam,,,+91 9701051948,Hyderabad - 500020,RTC X Roads,"http://www.google.com/maps/place/17.4026,78.4933"
Eeshwar Illu,Website,http://yellowpages.in/hyderabad/hotels/www.eeshwarillu.com,Invalid number,Hyderabad - 500072,Kukatpally,"http://www.google.com/maps/place/17.4948,78.3996"
Hotel Sai Pearl,Email,mailto:hotelsaipearl@gmail.com,+91 9700878701,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel Holiday,Email,mailto:laxmanagg24@gmail.com,+91 9701403038,Hyderabad - 500003,Ranigunj,"http://www.google.com/maps/place/17.4326,78.4908"
